qid,partialscore_quote_to_sentence,tokensetscore_quote_to_sentence,partialscore_quote_to_paragraph,tokensetscore_quote_to_paragraph,partialscore_quote_to_fullspeech,tokensetscore_quote_to_fullspeech,_partialscore_sentence,tokensetscore_quote_to_sentence_nostopwords,_partialscore_paragraph,tokensetscore_quote_to_paragraph_nostopwords,_partialscore_speech,tokensetscore_quote_to_fullspeech_nostopwords
1,49.0,56,53.0,60,85,99,45.0,39,49.0,48,86,99
2,86.0,86,47.0,69,84,98,78.0,76,47.0,53,83,97
3,82.0,84,82.0,100,82,100,78.0,81,78.0,100,78,100
4,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
5,95.0,93,95.0,93,95,100,99.0,94,99.0,92,99,100
6,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
7,73.0,96,73.0,96,73,98,73.0,100,73.0,100,73,100
8,84.0,92,81.0,94,81,99,92.0,93,83.0,92,83,98
9,69.0,86,69.0,86,69,86,66.0,84,66.0,84,66,84
10,89.0,93,89.0,100,89,100,89.0,95,89.0,100,89,100
11,73.0,74,73.0,90,73,94,64.0,66,68.0,91,68,91
12,82.0,90,82.0,98,82,98,83.0,94,82.0,100,82,100
13,56.0,73,56.0,80,71,89,62.0,71,62.0,75,73,87
14,66.0,74,54.0,61,71,98,67.0,72,53.0,57,71,98
15,90.0,100,90.0,100,90,100,100.0,100,100.0,100,100,100
16,68.0,86,74.0,100,74,100,69.0,85,76.0,100,76,100
17,46.0,66,46.0,61,60,94,41.0,59,42.0,53,61,94
18,91.0,94,91.0,94,91,94,84.0,88,84.0,88,84,88
19,95.0,95,95.0,95,95,100,86.0,92,86.0,92,86,100
20,99.0,100,75.0,100,75,100,97.0,98,74.0,100,74,100
21,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
22,73.0,95,73.0,95,73,95,72.0,91,72.0,91,72,91
23,82.0,94,84.0,91,84,100,95.0,100,83.0,91,87,100
24,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
25,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
26,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
27,100.0,100,100.0,100,53,90,100.0,100,100.0,100,56,86
28,78.0,99,78.0,99,53,87,83.0,100,83.0,100,56,85
29,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
30,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
31,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
32,100.0,100,51.0,28,100,100,100.0,100,51.0,26,100,100
33,94.0,97,94.0,97,94,97,93.0,97,93.0,97,93,97
34,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
35,99.0,100,99.0,100,99,100,98.0,100,98.0,100,98,100
36,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
37,97.0,99,97.0,99,97,100,100.0,100,100.0,100,100,100
38,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
39,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
40,97.0,99,97.0,99,97,96,99.0,99,99.0,99,99,96
41,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
42,99.0,99,99.0,94,99,94,99.0,99,99.0,92,99,92
43,97.0,98,97.0,97,97,100,100.0,99,99.0,96,99,100
44,89.0,94,89.0,92,89,92,84.0,100,86.0,93,86,93
45,97.0,98,97.0,100,97,100,100.0,100,100.0,100,100,100
46,97.0,98,97.0,100,97,100,100.0,100,100.0,100,100,100
47,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
48,100.0,100,89.0,94,89,100,100.0,100,88.0,90,88,100
49,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
50,84.0,90,84.0,90,84,90,87.0,89,87.0,89,87,89
51,92.0,94,92.0,89,92,100,100.0,100,100.0,100,100,100
52,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
53,83.0,91,87.0,95,53,76,85.0,93,90.0,95,54,73
54,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
55,69.0,96,69.0,96,69,96,70.0,95,70.0,95,70,95
56,100.0,100,57.0,23,100,100,100.0,100,48.0,20,100,100
57,94.0,94,94.0,100,94,100,100.0,100,100.0,100,100,100
58,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
59,84.0,100,84.0,100,84,100,86.0,100,86.0,100,86,100
60,89.0,94,89.0,97,89,100,91.0,94,91.0,96,91,100
61,63.0,62,63.0,62,100,100,67.0,62,67.0,62,100,100
62,77.0,83,82.0,93,82,93,63.0,72,76.0,89,76,89
63,92.0,100,92.0,100,92,100,92.0,100,92.0,100,92,100
64,99.0,100,99.0,100,99,100,97.0,100,97.0,100,97,100
65,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
66,90.0,98,90.0,96,90,100,88.0,99,87.0,95,87,100
67,96.0,98,96.0,98,96,98,100.0,100,100.0,100,100,100
68,98.0,98,98.0,98,98,98,97.0,100,97.0,100,97,100
69,96.0,98,93.0,98,93,98,99.0,99,94.0,98,94,98
70,96.0,100,92.0,96,92,96,96.0,100,94.0,98,94,98
71,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
72,99.0,100,99.0,100,99,100,98.0,100,98.0,100,98,100
73,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
74,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
75,90.0,95,78.0,100,78,100,89.0,94,76.0,100,76,100
76,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
77,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
78,89.0,100,89.0,100,89,100,86.0,100,86.0,100,86,100
79,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
80,48.0,53,49.0,55,50,59,47.0,46,46.0,31,48,28
81,89.0,91,86.0,100,86,100,100.0,100,100.0,100,100,100
82,100.0,100,52.0,55,57,97,100.0,100,50.0,50,60,96
83,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
84,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
85,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
86,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
87,96.0,99,96.0,99,96,100,98.0,100,98.0,100,98,100
88,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
89,99.0,100,99.0,100,99,100,100.0,100,100.0,100,100,100
90,95.0,100,95.0,100,95,100,95.0,100,96.0,100,96,100
91,96.0,98,99.0,100,99,100,92.0,96,100.0,100,100,100
92,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
93,98.0,98,82.0,96,90,96,100.0,100,78.0,96,88,96
94,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
95,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
96,97.0,94,53.0,50,84,97,99.0,95,57.0,51,85,96
97,89.0,98,89.0,98,89,98,85.0,97,85.0,97,85,97
98,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
99,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
100,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
101,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
102,81.0,93,81.0,93,81,93,85.0,92,85.0,92,85,92
103,58.0,66,67.0,90,67,95,62.0,73,63.0,96,63,96
104,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
105,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
106,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
107,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
108,58.0,71,53.0,71,95,99,57.0,69,53.0,70,93,99
109,79.0,100,79.0,100,79,100,88.0,100,88.0,100,88,100
110,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
111,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
112,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
113,82.0,80,82.0,82,82,100,83.0,80,83.0,80,83,100
114,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
115,67.0,60,67.0,100,100,100,62.0,60,71.0,100,100,100
116,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
117,92.0,96,92.0,100,92,100,90.0,95,94.0,100,94,100
118,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
119,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
120,93.0,100,93.0,100,93,100,93.0,100,93.0,100,93,100
121,79.0,96,79.0,98,79,98,82.0,98,82.0,98,82,98
122,58.0,74,51.0,53,98,100,54.0,71,50.0,50,100,100
123,96.0,100,96.0,100,96,100,97.0,100,97.0,100,97,100
124,77.0,82,77.0,88,77,88,73.0,70,73.0,83,73,83
125,87.0,99,87.0,99,87,99,88.0,100,88.0,100,88,100
126,94.0,98,93.0,100,93,100,91.0,100,94.0,100,94,100
127,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
128,89.0,98,89.0,98,89,100,88.0,98,88.0,98,88,100
129,100.0,100,47.0,54,100,100,100.0,100,48.0,37,100,100
130,98.0,100,98.0,100,98,100,96.0,100,96.0,100,96,100
131,46.0,53,46.0,53,69,98,43.0,50,43.0,50,63,98
132,98.0,100,98.0,100,98,100,98.0,100,98.0,100,98,100
133,78.0,92,78.0,92,78,92,85.0,87,85.0,87,85,87
134,97.0,100,97.0,98,97,100,96.0,100,96.0,98,96,100
135,96.0,97,96.0,97,96,98,94.0,96,94.0,96,94,97
136,90.0,98,90.0,100,90,100,86.0,100,86.0,100,86,100
137,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
138,98.0,99,98.0,99,98,99,100.0,100,100.0,100,100,100
139,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
140,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
141,98.0,98,98.0,100,98,100,100.0,100,100.0,100,100,100
142,83.0,100,83.0,100,83,100,88.0,100,88.0,100,88,100
143,45.0,60,49.0,62,97,98,44.0,59,49.0,56,98,100
144,98.0,100,98.0,100,50,65,97.0,100,97.0,100,51,47
145,97.0,99,97.0,99,52,86,100.0,100,100.0,100,51,78
146,98.0,100,98.0,100,98,100,97.0,100,97.0,100,97,100
147,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
148,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
149,100.0,100,75.0,89,75,89,100.0,100,63.0,77,63,77
150,78.0,76,78.0,76,78,76,78.0,76,78.0,76,78,76
151,81.0,83,81.0,83,81,83,100.0,100,100.0,100,100,100
152,87.0,82,87.0,77,87,100,67.0,86,75.0,59,75,100
153,88.0,98,88.0,98,88,100,79.0,100,79.0,100,79,100
154,88.0,93,88.0,96,88,100,92.0,96,92.0,96,92,100
155,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
156,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
157,81.0,100,81.0,100,81,100,78.0,100,78.0,100,78,100
158,46.0,53,70.0,67,70,74,46.0,48,72.0,65,72,66
159,87.0,89,87.0,89,87,100,65.0,89,70.0,78,70,100
160,97.0,95,97.0,100,97,100,100.0,100,100.0,100,100,100
161,97.0,100,97.0,100,97,100,97.0,100,97.0,100,97,100
162,97.0,95,97.0,100,97,100,100.0,100,100.0,100,100,100
163,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
164,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
165,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
166,70.0,80,70.0,86,70,86,74.0,81,74.0,81,74,81
167,74.0,79,74.0,82,74,96,73.0,80,73.0,76,73,95
168,76.0,100,76.0,100,76,100,76.0,100,76.0,100,76,100
169,87.0,92,87.0,97,51,80,91.0,93,91.0,100,49,73
170,96.0,97,96.0,97,96,100,100.0,100,100.0,100,100,100
171,62.0,75,73.0,85,73,85,65.0,79,78.0,79,78,79
172,62.0,75,73.0,85,73,85,65.0,79,78.0,79,78,79
173,93.0,100,93.0,100,93,100,100.0,100,100.0,100,100,100
174,79.0,78,79.0,75,79,75,76.0,73,76.0,67,76,67
175,71.0,81,45.0,56,73,99,65.0,77,40.0,50,68,98
176,99.0,99,99.0,99,99,99,96.0,100,96.0,100,96,100
177,98.0,99,98.0,100,98,100,100.0,100,100.0,100,100,100
178,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
179,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
180,45.0,55,48.0,54,84,100,46.0,52,46.0,38,87,100
181,68.0,83,68.0,83,68,83,62.0,83,62.0,83,62,83
182,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
183,87.0,98,87.0,100,87,100,94.0,97,94.0,100,94,100
184,88.0,99,88.0,99,88,100,88.0,100,88.0,100,88,100
185,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
186,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
187,99.0,100,99.0,99,99,100,100.0,100,100.0,100,100,100
188,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
189,94.0,92,94.0,92,94,100,96.0,94,96.0,94,96,100
190,98.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
191,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
192,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
193,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
194,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
195,88.0,99,88.0,99,88,99,89.0,100,89.0,100,89,100
196,94.0,97,94.0,92,94,92,89.0,95,90.0,90,90,90
197,75.0,89,75.0,92,75,92,70.0,87,70.0,87,70,87
198,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
199,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
200,77.0,100,77.0,100,77,100,76.0,100,76.0,100,76,100
201,96.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
202,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
203,66.0,88,76.0,100,76,100,71.0,87,75.0,100,75,100
204,64.0,65,75.0,100,75,100,63.0,55,76.0,100,76,100
205,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
206,90.0,93,90.0,95,90,99,90.0,92,89.0,94,90,98
207,83.0,85,83.0,85,83,100,78.0,79,78.0,79,78,100
208,93.0,100,93.0,100,93,100,100.0,100,100.0,100,100,100
209,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
210,95.0,100,51.0,43,56,52,100.0,100,52.0,36,52,26
211,95.0,100,95.0,100,95,100,100.0,100,100.0,100,100,100
212,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
213,99.0,100,99.0,100,99,100,98.0,100,98.0,100,98,100
214,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
215,100.0,100,71.0,90,84,98,100.0,100,73.0,92,86,98
216,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
217,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
218,63.0,88,63.0,95,63,100,65.0,90,65.0,100,65,100
219,82.0,91,82.0,96,82,100,89.0,94,89.0,94,89,100
220,96.0,97,96.0,97,96,100,100.0,100,100.0,100,100,100
221,95.0,92,95.0,92,95,92,100.0,100,100.0,100,100,100
222,96.0,98,96.0,98,96,100,95.0,97,95.0,97,95,100
223,98.0,98,98.0,98,98,98,100.0,100,100.0,100,100,100
224,74.0,100,74.0,100,74,100,69.0,100,69.0,100,69,100
225,98.0,96,98.0,93,98,93,97.0,97,97.0,90,97,90
226,76.0,77,76.0,100,76,100,78.0,77,78.0,100,78,100
227,58.0,74,68.0,100,68,100,60.0,75,63.0,100,63,100
228,98.0,99,98.0,99,98,100,96.0,98,96.0,98,96,100
229,97.0,96,97.0,96,97,99,100.0,100,100.0,100,100,100
230,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
231,87.0,53,87.0,53,87,53,71.0,53,71.0,53,71,53
232,70.0,59,70.0,59,90,100,62.0,48,62.0,48,94,100
233,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
234,92.0,95,92.0,100,92,100,84.0,100,84.0,100,84,100
235,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
236,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
237,96.0,98,96.0,98,96,98,96.0,98,96.0,98,96,98
238,92.0,97,92.0,100,92,100,93.0,94,93.0,100,93,100
239,78.0,100,78.0,100,78,100,81.0,100,81.0,100,81,100
240,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
241,88.0,99,88.0,99,88,99,88.0,98,88.0,98,88,98
242,80.0,93,80.0,93,80,93,69.0,89,69.0,89,69,89
243,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
244,97.0,96,98.0,99,98,99,100.0,100,100.0,100,100,100
245,91.0,98,91.0,100,91,100,86.0,100,86.0,100,86,100
246,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
247,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
248,100.0,100,94.0,96,94,98,100.0,100,100.0,100,100,100
249,68.0,78,68.0,92,68,95,69.0,75,69.0,90,69,95
250,99.0,99,99.0,95,99,95,98.0,99,98.0,92,98,92
251,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
252,86.0,93,87.0,93,87,93,78.0,88,78.0,88,78,88
253,74.0,99,74.0,99,74,100,75.0,100,75.0,100,75,100
254,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
255,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
256,100.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
257,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
258,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
259,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
260,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
261,96.0,99,96.0,100,96,100,96.0,98,96.0,100,96,100
262,92.0,95,92.0,95,92,100,100.0,100,100.0,100,100,100
263,51.0,57,56.0,75,56,80,56.0,61,61.0,70,61,70
264,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
265,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
266,50.0,67,70.0,87,70,100,47.0,66,67.0,87,67,100
267,85.0,100,85.0,100,85,100,94.0,100,94.0,100,94,100
268,72.0,82,74.0,98,74,98,76.0,85,77.0,97,77,97
269,76.0,100,75.0,90,75,100,78.0,100,81.0,93,81,100
270,96.0,95,96.0,95,96,95,99.0,94,99.0,94,99,94
271,62.0,84,65.0,88,65,88,81.0,86,81.0,86,81,86
272,79.0,84,79.0,84,79,100,79.0,84,79.0,84,79,100
273,98.0,98,98.0,98,98,100,100.0,100,100.0,100,100,100
274,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
275,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
276,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
277,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
278,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
279,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
280,74.0,83,74.0,83,74,100,74.0,83,74.0,83,74,100
281,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
282,96.0,97,96.0,97,96,97,98.0,96,98.0,96,98,96
283,94.0,83,100.0,100,100,100,82.0,83,100.0,100,100,100
284,98.0,100,98.0,100,98,100,97.0,100,97.0,100,97,100
285,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
286,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
287,97.0,100,97.0,100,97,100,96.0,100,96.0,100,96,100
288,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
289,94.0,100,94.0,100,94,100,100.0,100,100.0,100,100,100
290,52.0,50,52.0,50,89,100,50.0,52,50.0,52,90,100
291,88.0,100,88.0,100,88,100,96.0,100,96.0,100,96,100
292,92.0,93,92.0,93,92,93,88.0,90,88.0,90,88,90
