qid,article_id,beat,author_cleaned2,wordcount,article_len_char,_article,_article_len_char,section2,wordcount_quote,wordcount_paragraph,wordcount_fullspeech,char_count_quote,char_count_paragraph,char_count_fullspeech,wordcount_nostopwords_quote,wordcount_nostopwords_paragraph,wordcount_nostopwords_fullspeech,char_count_nostopwords_quote,char_count_nostopwords_paragraph,char_count_nostopwords_fullspeech,malay,mandarin,tamil,vernacular,translations,year,ge2006,ge2011,ge2015,ge2006_1mth,ge2006_3mths,ge2006_6mths,ge2011_1mth,ge2011_3mths,ge2011_6mths,ge2015_1mth,ge2015_3mths,ge2015_6mths,be2012,be2013,be2016,be2012_1mth,be2012_3mths,be2013_1mth,be2013_3mths,be2016_1mth,be2016_3mths,pe2005,pe2011,pe2005_1mth,pe2005_3mths,pe2005_6mths,pe2011_1mth,pe2011_3mths,pe2011_6mths,weekday
1,27,,0,1742,9867,1033,7169,prime news,718,133.0,4094,3868,784.0,22842,358,71.0,2189,2537,533.0,15435,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,thursday
2,27,,0,1742,9867,1033,7169,prime news,275,58.0,2826,1638,320.0,16756,151,29.0,1578,1142,214.0,11961,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,thursday
3,32,,1,409,2268,247,1693,singapore,36,95.0,2362,198,529.0,13617,18,50.0,1299,134,361.0,9476,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
4,32,,1,409,2268,247,1693,singapore,11,95.0,1992,60,535.0,11365,5,47.0,1017,38,355.0,7665,1,0,0,0,1,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
5,32,,1,409,2268,247,1693,singapore,18,40.0,2028,104,242.0,11788,10,19.0,1035,77,169.0,7907,0,1,0,0,1,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
6,32,none,1,409,2268,247,1693,singapore,22,40.0,2028,129,242.0,11788,10,19.0,1035,92,169.0,7907,0,1,0,0,1,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
7,69,,0,611,3460,404,2709,top of the news,29,50.0,162,146,248.0,867,12,23.0,80,79,145.0,551,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
8,69,,0,611,3460,404,2709,top of the news,51,135.0,180,279,672.0,931,29,58.0,86,197,385.0,589,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
9,69,,0,611,3460,404,2709,top of the news,22,65.0,65,134,340.0,340,13,29.0,29,106,214.0,214,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
10,69,,0,611,3460,404,2709,top of the news,26,51.0,51,142,287.0,287,12,24.0,24,91,189.0,189,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
11,69,,0,611,3460,404,2709,top of the news,13,63.0,199,81,348.0,1125,7,30.0,94,56,223.0,725,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
12,69,,0,611,3460,404,2709,top of the news,56,169.0,264,322,892.0,1418,30,80.0,128,228,567.0,918,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
13,69,,0,611,3460,404,2709,top of the news,22,84.0,164,131,436.0,878,12,42.0,86,98,278.0,584,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
14,69,,0,611,3460,404,2709,top of the news,74,166.0,406,398,912.0,2173,43,79.0,195,288,571.0,1368,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
15,69,,0,611,3460,404,2709,top of the news,18,52.0,52,101,272.0,272,10,23.0,23,72,163.0,163,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
16,69,,0,611,3460,404,2709,top of the news,62,98.0,98,391,568.0,568,35,49.0,49,285,390.0,390,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
17,69,,0,611,3460,404,2709,top of the news,55,108.0,258,304,600.0,1417,29,53.0,135,198,369.0,930,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
18,69,,0,611,3460,404,2709,top of the news,21,96.0,255,87,473.0,1369,6,40.0,109,37,263.0,788,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
19,114,law,2,834,4764,516,3555,news,10,143.0,4638,65,760.0,26180,5,49.0,2315,43,383.0,17103,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,sunday
20,125,none,3,517,3026,334,2367,singapore,37,110.0,2492,200,604.0,15175,19,59.0,1387,141,414.0,10784,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
21,125,none,3,517,3026,334,2367,singapore,2,75.0,2492,18,460.0,15175,2,41.0,1387,18,321.0,10784,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
22,125,none,3,517,3026,334,2367,singapore,10,75.0,2492,48,460.0,15175,4,41.0,1387,25,321.0,10784,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
23,125,none,3,517,3026,334,2367,singapore,14,75.0,2492,75,465.0,15175,7,37.0,1387,52,305.0,10784,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
24,125,none,3,517,3026,334,2367,singapore,17,115.0,2492,92,649.0,15175,6,58.0,1387,43,419.0,10784,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,thursday
25,146,none,4,514,3018,333,2342,insight,5,133.0,3072,29,852.0,17465,4,72.0,1670,24,612.0,11913,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,friday
26,146,none,4,514,3018,333,2342,insight,13,162.0,5437,61,910.0,30969,5,100.0,2997,30,668.0,21408,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,friday
27,152,none,5,635,3821,416,2974,prime news,11,163.0,5991,62,902.0,31868,6,75.0,2792,45,568.0,19421,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tuesday
28,152,none,5,635,3821,416,2974,prime news,12,163.0,5991,83,902.0,31868,8,75.0,2792,72,568.0,19421,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tuesday
29,152,none,5,635,3821,416,2974,prime news,9,46.0,3039,48,256.0,17640,5,20.0,1599,35,155.0,12060,1,0,0,0,1,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tuesday
30,159,economics,6,882,5023,556,3814,prime news,22,96.0,725,128,618.0,4684,14,65.0,437,98,505.0,3601,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
31,159,economics,6,882,5023,556,3814,prime news,5,111.0,850,24,628.0,5300,3,57.0,487,16,431.0,3895,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
32,159,economics,6,882,5023,556,3814,prime news,7,52.0,866,57,333.0,5545,5,35.0,518,47,273.0,4225,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
33,159,economics,6,882,5023,556,3814,prime news,30,96.0,725,171,618.0,4684,16,65.0,437,126,505.0,3601,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
34,159,economics,6,882,5023,556,3814,prime news,17,64.0,850,100,380.0,5300,8,32.0,487,65,262.0,3895,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
35,159,economics,6,882,5023,556,3814,prime news,33,64.0,850,190,380.0,5300,17,32.0,487,136,262.0,3895,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
36,159,economics,6,882,5023,556,3814,prime news,19,77.0,725,100,485.0,4684,11,46.0,437,74,380.0,3601,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
37,159,economics,6,882,5023,556,3814,prime news,23,37.0,841,145,233.0,5459,15,22.0,500,117,178.0,4143,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wednesday
38,183,none,7,827,4636,509,3443,singapore,7,78.0,5544,33,442.0,31751,4,41.0,3010,26,294.0,21756,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,thursday
39,184,none,8,608,3656,391,2798,singapore,2,130.0,1648,13,737.0,9793,2,60.0,885,13,424.0,6838,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wednesday
40,184,none,8,608,3656,391,2798,singapore,40,41.0,1648,247,254.0,9793,21,21.0,885,182,182.0,6838,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wednesday
41,184,none,8,608,3656,391,2798,singapore,2,160.0,816,14,952.0,4964,2,84.0,436,14,650.0,3465,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wednesday
42,184,none,8,608,3656,391,2798,singapore,21,92.0,1648,139,611.0,9793,10,49.0,885,96,446.0,6838,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wednesday
43,288,none,9,420,2166,269,1644,top of the news,19,54.0,149,117,324.0,834,14,38.0,99,99,266.0,645,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,saturday
44,288,none,9,420,2166,269,1644,top of the news,24,105.0,572,111,517.0,2909,11,47.0,274,66,308.0,1754,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,saturday
45,288,none,9,420,2166,269,1644,top of the news,18,129.0,572,95,654.0,2909,7,59.0,274,54,382.0,1754,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,saturday
46,288,none,9,420,2166,269,1644,top of the news,37,105.0,572,179,517.0,2909,17,47.0,274,111,308.0,1754,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,saturday
47,288,none,9,420,2166,269,1644,top of the news,3,129.0,572,20,654.0,2909,2,59.0,274,17,382.0,1754,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,saturday
