qid,date,section,mp,matched_score,matched_date,rank,MND,MinDef,MFA,MinLaw,MHA,MOT,MOF,MOM,MTI,MCCY,MSF,MOH,PMO,MEWR,MCI,MOE,speaker,dob,yob,start,end,gender,party,race,age,tenure,opposition,non-partisan,parl10,parl11,parl12,parl13,parl,num,voters,valid_votes,vote_share,vote,winners_majority_share,winners_majority,swing
1,2011-10-20,Prime News,0,0.0658682634730539,2011-10-19,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,21617.0,3646,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
2,2011-10-20,Prime News,1,0.85823754789272,2011-10-19,ncmp,,,,,,,,,,,,,,,,,0,1965-03-24,1965,2011-10-10,25/8/2015,male,wp,chinese,17010.0,9,1,0,0,0,1,0,12th parliament,1.0,22069.0,18944.0,49.0,9278.0,,,
3,2011-10-19,Singapore,2,0.581740976645435,2011-10-18,ncmp,,,,,,,,,,,,,,,,,0,1977-11-22,1977,2011-10-10,25/8/2015,male,wp,chinese,12383.0,8,1,0,0,0,1,0,12th parliament,5.0,120324.0,109421.0,45.2,49429.0,,,
4,2011-10-19,Singapore,3,0.983333333333333,2011-10-18,mp,,,,,,,,,,,,,,,,,0,1966-03-16,1966,2006-04-27,2018-03-02 00:00:00,female,pap,malay,16652.0,2000,0,0,0,0,1,0,12th parliament,5.0,154451.0,138212.0,56.6,78286.0,13.2,18360.0,
5,2011-10-19,Singapore,4,0.945812807881773,2011-10-18,mp,,,,,,,,,,,,,,,,,0,,1971,2011-04-27,2018-03-02 00:00:00,male,pap,chinese,14600.0,174,0,0,0,0,1,0,12th parliament,5.0,139771.0,,,,,,
6,2011-10-19,Singapore,4,0.949019607843137,2011-10-18,mp,,,,,,,,,,,,,,,,,0,,1971,2011-04-27,2018-03-02 00:00:00,male,pap,chinese,14600.0,174,0,0,0,0,1,0,12th parliament,5.0,139771.0,,,,,,
7,2012-11-15,Top of The News,5,0.561111111111111,2012-11-14,mp,,,,,,,,,,,,,,,,,0,1957-04-13,1957,2006-06-05,25/8/2015,female,pap,chinese,20304.0,2354,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
8,2012-11-15,Top of The News,6,0.588235294117647,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
9,2012-11-15,Top of The News,7,0.514285714285714,2012-11-14,mp,,,,,,,,,,,,,,,,,0,1956-05-09,1956,1991-08-31,2018-03-02 00:00:00,male,wp,chinese,20643.0,7746,1,0,0,0,1,0,12th parliament,5.0,143148.0,132118.0,54.7,72289.0,9.4,12460.0,10.8
10,2012-11-15,Top of The News,6,0.618925831202046,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
11,2012-11-15,Top of The News,8,0.628930817610063,2012-11-14,nmp,,,,,,,,,,,,,,,,,0,,1975,2012-02-14,13/8/2014,male,ind,chinese,13505.0,274,0,1,0,0,1,0,12th parliament,,,,,,,,
12,2012-11-15,Top of The News,6,0.186390532544379,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
13,2012-11-15,Top of The News,9,0.560975609756098,2012-11-14,mp,,,,,,,,,,,,,,,,,0,,1961,2006-04-27,2018-03-02 00:00:00,male,pap,chinese,18615.0,2393,0,0,0,0,1,0,12th parliament,5.0,154451.0,138212.0,56.6,78286.0,13.2,18360.0,
14,2012-11-15,Top of The News,6,0.609271523178808,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
15,2012-11-15,Top of The News,2,0.649789029535865,2012-11-14,ncmp,,,,,,,,,,,,,,,,,0,1977-11-22,1977,2011-10-10,25/8/2015,male,wp,chinese,12776.0,401,1,0,0,0,1,0,12th parliament,5.0,120324.0,109421.0,45.2,49429.0,,,
16,2012-11-15,Top of The News,6,0.0590604026845638,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
17,2012-11-15,Top of The News,10,0.174556213017751,2012-11-14,mp,,,,,,,,,,,,,,,,,0,1981-06-20,1981,2011-07-05,2018-03-02 00:00:00,male,pap,chinese,11470.0,498,0,0,0,0,1,0,12th parliament,5.0,158648.0,146595.0,61.2,89710.0,22.4,32825.0,
18,2012-11-15,Top of The News,6,0.22972972972973,2012-11-14,minister,,1.0,,,,,,,,,,,,,,,0,1958-10-12,1958,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19757.0,4038,0,0,0,0,1,0,12th parliament,5.0,122492.0,109590.0,56.9,62385.0,13.8,15180.0,
19,2012-12-30,News,11,0.826446280991735,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
